================================================================================
                    SCHOOL MANAGEMENT SYSTEM - LOGIN RECORDS
================================================================================

Generated: 12/17/2025, 9:00:39 AM

--------------------------------------------------------------------------------
                              ADMIN ACCOUNTS (2)
--------------------------------------------------------------------------------

Admin 1:
  Name:     John Administrator
  Email:    admin1@school.edu
  Password: admin123

Admin 2:
  Name:     Sarah Principal
  Email:    admin2@school.edu
  Password: admin456

--------------------------------------------------------------------------------
                             TEACHER ACCOUNTS (5)
--------------------------------------------------------------------------------

Teacher 1:
  Name:     James Rodriguez
  Email:    teacher1@school.edu
  Password: teacher1pass

Teacher 2:
  Name:     Karen Ramirez
  Email:    teacher2@school.edu
  Password: teacher2pass

Teacher 3:
  Name:     Ava Johnson
  Email:    teacher3@school.edu
  Password: teacher3pass

Teacher 4:
  Name:     Aiden Lewis
  Email:    teacher4@school.edu
  Password: teacher4pass

Teacher 5:
  Name:     Elizabeth Martin
  Email:    teacher5@school.edu
  Password: teacher5pass

--------------------------------------------------------------------------------
                            STUDENT ACCOUNTS (1000)
--------------------------------------------------------------------------------

Format: Roll Number | Name | Class | Password


Class 1 (84 students):
------------------------------------------------------------
  Roll:   1 | Oliver Jackson            | Password: student1
  Roll:  22 | Jessica Robinson          | Password: student259
  Roll:  23 | Ava Taylor                | Password: student271
  Roll:  24 | Robert Moore              | Password: student283
  Roll:  25 | Alexander Garcia          | Password: student295
  Roll:  26 | Robert Robinson           | Password: student307
  Roll:  27 | David Sanchez             | Password: student319
  Roll:  28 | Robert Gonzalez           | Password: student331
  Roll:  29 | Michael Martinez          | Password: student343
  Roll:  30 | Thomas Anderson           | Password: student355
  Roll:  31 | Ava Thompson              | Password: student367
  Roll:  32 | Linda Thomas              | Password: student379
  Roll:  33 | Mary Taylor               | Password: student391
  Roll:  34 | David Ramirez             | Password: student403
  Roll:  35 | Aiden Lee                 | Password: student415
  Roll:  36 | Emma Smith                | Password: student427
  Roll:  37 | Thomas Jones              | Password: student439
  Roll:  38 | Karen Lopez               | Password: student451
  Roll:  39 | Olivia Gonzalez           | Password: student463
  Roll:  40 | Amelia Williams           | Password: student475
  Roll:  41 | Joseph Johnson            | Password: student487
  Roll:  42 | Elizabeth Jones           | Password: student499
  Roll:  43 | Isabella Wilson           | Password: student511
  Roll:  44 | Charles Thompson          | Password: student523
  Roll:  45 | James Harris              | Password: student535
  Roll:  46 | Thomas Davis              | Password: student547
  Roll:  47 | Noah Anderson             | Password: student559
  Roll:  48 | Joseph Jackson            | Password: student571
  Roll:  49 | Richard Ramirez           | Password: student583
  Roll:  50 | John Anderson             | Password: student595
  Roll:  51 | Olivia Jones              | Password: student607
  Roll:  52 | Charlotte Perez           | Password: student619
  Roll:  53 | Evelyn Rodriguez          | Password: student631
  Roll:  54 | Ava Anderson              | Password: student643
  Roll:  55 | Amelia Martin             | Password: student655
  Roll:  56 | Oliver Lopez              | Password: student667
  Roll:  57 | Emma Gonzalez             | Password: student679
  Roll:  58 | Aiden Gonzalez            | Password: student691
  Roll:  59 | Richard Smith             | Password: student703
  Roll:  60 | Charlotte Robinson        | Password: student715
  Roll:  61 | David Lee                 | Password: student727
  Roll:  62 | Amelia Perez              | Password: student739
  Roll:  63 | Charles Wilson            | Password: student751
  Roll:  64 | John Thomas               | Password: student763
  Roll:  65 | James Ramirez             | Password: student775
  Roll:  66 | Noah Johnson              | Password: student787
  Roll:  67 | Karen Smith               | Password: student799
  Roll:  68 | Ethan Williams            | Password: student811
  Roll:  69 | Evelyn Jackson            | Password: student823
  Roll:  70 | Sebastian Taylor          | Password: student835
  Roll:  71 | Elijah Robinson           | Password: student847
  Roll:  72 | Lucas Davis               | Password: student859
  Roll:  73 | Liam Rodriguez            | Password: student871
  Roll:  74 | Thomas Harris             | Password: student883
  Roll:  75 | Elizabeth Miller          | Password: student895
  Roll:  76 | Michael Davis             | Password: student907
  Roll:  77 | Barbara Lewis             | Password: student919
  Roll:  78 | Aiden Rodriguez           | Password: student931
  Roll:  79 | Sophia Brown              | Password: student943
  Roll:  80 | Jessica Sanchez           | Password: student955
  Roll:  81 | Emma Harris               | Password: student967
  Roll:  82 | Ethan Perez               | Password: student979
  Roll:  83 | Mason Gonzalez            | Password: student991

Class 8 (83 students):
------------------------------------------------------------
  Roll:   1 | Olivia Moore              | Password: student8
  Roll:   2 | Mia White                 | Password: student20
  Roll:   3 | Barbara Lee               | Password: student32
  Roll:   4 | Ethan Lopez               | Password: student44
  Roll:   5 | Charlotte Lee             | Password: student56
  Roll:   6 | Linda Thompson            | Password: student68
  Roll:   7 | Oliver Martin             | Password: student80
  Roll:   8 | Susan Robinson            | Password: student92
  Roll:   9 | Liam Hernandez            | Password: student104
  Roll:  10 | Harper Williams           | Password: student116
  Roll:  11 | Sebastian Lewis           | Password: student128
  Roll:  12 | Joseph Jones              | Password: student140
  Roll:  13 | Isabella Rodriguez        | Password: student152
  Roll:  14 | Liam Johnson              | Password: student164
  Roll:  15 | Sebastian Jackson         | Password: student176
  Roll:  16 | Robert Moore              | Password: student188
  Roll:  17 | Mary Jones                | Password: student200
  Roll:  18 | Sophia Gonzalez           | Password: student212
  Roll:  19 | Mia Brown                 | Password: student224
  Roll:  20 | John Harris               | Password: student236
  Roll:  21 | Susan Jackson             | Password: student248
  Roll:  22 | James Lewis               | Password: student260
  Roll:  23 | Linda Perez               | Password: student272
  Roll:  24 | Barbara Robinson          | Password: student284
  Roll:  25 | Robert White              | Password: student296
  Roll:  26 | Jennifer Jackson          | Password: student308
  Roll:  27 | Mason Anderson            | Password: student320
  Roll:  28 | John Thompson             | Password: student332
  Roll:  29 | Olivia Johnson            | Password: student344
  Roll:  30 | Charlotte Smith           | Password: student356
  Roll:  31 | Robert Lee                | Password: student368
  Roll:  32 | Michael Garcia            | Password: student380
  Roll:  33 | Lucas Garcia              | Password: student392
  Roll:  34 | Oliver Taylor             | Password: student404
  Roll:  35 | Noah Robinson             | Password: student416
  Roll:  36 | Amelia Thompson           | Password: student428
  Roll:  37 | Ethan Lopez               | Password: student440
  Roll:  38 | James Martin              | Password: student452
  Roll:  39 | Charlotte Lee             | Password: student464
  Roll:  40 | Jessica Perez             | Password: student476
  Roll:  41 | Lucas Moore               | Password: student488
  Roll:  42 | Aiden White               | Password: student500
  Roll:  43 | John Williams             | Password: student512
  Roll:  44 | Harper White              | Password: student524
  Roll:  45 | Linda Thompson            | Password: student536
  Roll:  46 | Karen Harris              | Password: student548
  Roll:  47 | Aiden Lewis               | Password: student560
  Roll:  48 | Jessica Garcia            | Password: student572
  Roll:  49 | Mia Thomas                | Password: student584
  Roll:  50 | Liam Jackson              | Password: student596
  Roll:  51 | David Ramirez             | Password: student608
  Roll:  52 | Liam Clark                | Password: student620
  Roll:  53 | Ethan Lopez               | Password: student632
  Roll:  54 | Jessica Jackson           | Password: student644
  Roll:  55 | Joseph Clark              | Password: student656
  Roll:  56 | Susan Robinson            | Password: student668
  Roll:  57 | Emma Ramirez              | Password: student680
  Roll:  58 | Emma Thompson             | Password: student692
  Roll:  59 | Aiden Jackson             | Password: student704
  Roll:  60 | Mia Martinez              | Password: student716
  Roll:  61 | Mary Thomas               | Password: student728
  Roll:  62 | Elizabeth Brown           | Password: student740
  Roll:  63 | Patricia Ramirez          | Password: student752
  Roll:  64 | John Clark                | Password: student764
  Roll:  65 | Sarah Thompson            | Password: student776
  Roll:  66 | Mary Jackson              | Password: student788
  Roll:  67 | Jessica Lopez             | Password: student800
  Roll:  68 | Joseph Jones              | Password: student812
  Roll:  69 | Emma Davis                | Password: student824
  Roll:  70 | John Anderson             | Password: student836
  Roll:  71 | Amelia Garcia             | Password: student848
  Roll:  72 | David Brown               | Password: student860
  Roll:  73 | Charlotte Davis           | Password: student872
  Roll:  74 | Sophia Harris             | Password: student884
  Roll:  75 | Elijah Garcia             | Password: student896
  Roll:  76 | Joseph Lewis              | Password: student908
  Roll:  77 | Mia Miller                | Password: student920
  Roll:  78 | Mary Davis                | Password: student932
  Roll:  79 | Harper Clark              | Password: student944
  Roll:  80 | Elijah Thomas             | Password: student956
  Roll:  81 | Charles Rodriguez         | Password: student968
  Roll:  82 | Aiden Ramirez             | Password: student980
  Roll:  83 | Ethan Garcia              | Password: student992

Class 9 (83 students):
------------------------------------------------------------
  Roll:   1 | Barbara Harris            | Password: student9
  Roll:   2 | Linda Perez               | Password: student21
  Roll:   3 | Alexander Jackson         | Password: student33
  Roll:   4 | Susan Robinson            | Password: student45
  Roll:   5 | Oliver Perez              | Password: student57
  Roll:   6 | James Williams            | Password: student69
  Roll:   7 | Isabella Clark            | Password: student81
  Roll:   8 | Emma Ramirez              | Password: student93
  Roll:   9 | Ava Harris                | Password: student105
  Roll:  10 | Ethan Robinson            | Password: student117
  Roll:  11 | Patricia Lewis            | Password: student129
  Roll:  12 | Richard Thompson          | Password: student141
  Roll:  13 | Ethan Smith               | Password: student153
  Roll:  14 | Mason Sanchez             | Password: student165
  Roll:  15 | David Johnson             | Password: student177
  Roll:  16 | Elijah Jones              | Password: student189
  Roll:  17 | Elijah Hernandez          | Password: student201
  Roll:  18 | Karen Taylor              | Password: student213
  Roll:  19 | Lucas Hernandez           | Password: student225
  Roll:  20 | Oliver Gonzalez           | Password: student237
  Roll:  21 | Barbara Jackson           | Password: student249
  Roll:  22 | Noah Hernandez            | Password: student261
  Roll:  23 | Emma Johnson              | Password: student273
  Roll:  24 | Olivia Gonzalez           | Password: student285
  Roll:  25 | Susan Harris              | Password: student297
  Roll:  26 | John Lopez                | Password: student309
  Roll:  27 | Charlotte Johnson         | Password: student321
  Roll:  28 | Emma Garcia               | Password: student333
  Roll:  29 | Isabella Sanchez          | Password: student345
  Roll:  30 | Ava Lopez                 | Password: student357
  Roll:  31 | Barbara Hernandez         | Password: student369
  Roll:  32 | Alexander Taylor          | Password: student381
  Roll:  33 | Mason Johnson             | Password: student393
  Roll:  34 | Mia Lee                   | Password: student405
  Roll:  35 | Sarah Hernandez           | Password: student417
  Roll:  36 | Alexander Perez           | Password: student429
  Roll:  37 | Jessica Martinez          | Password: student441
  Roll:  38 | Elizabeth Anderson        | Password: student453
  Roll:  39 | Emma Williams             | Password: student465
  Roll:  40 | John Moore                | Password: student477
  Roll:  41 | Mia Sanchez               | Password: student489
  Roll:  42 | Mia Miller                | Password: student501
  Roll:  43 | Mason Rodriguez           | Password: student513
  Roll:  44 | Ava Jackson               | Password: student525
  Roll:  45 | Charlotte Anderson        | Password: student537
  Roll:  46 | Jennifer Perez            | Password: student549
  Roll:  47 | Charles Taylor            | Password: student561
  Roll:  48 | Charles Miller            | Password: student573
  Roll:  49 | Susan Sanchez             | Password: student585
  Roll:  50 | Linda Martinez            | Password: student597
  Roll:  51 | John Jones                | Password: student609
  Roll:  52 | Jessica Lewis             | Password: student621
  Roll:  53 | William Brown             | Password: student633
  Roll:  54 | Aiden Gonzalez            | Password: student645
  Roll:  55 | Isabella Lewis            | Password: student657
  Roll:  56 | William Miller            | Password: student669
  Roll:  57 | Mia Clark                 | Password: student681
  Roll:  58 | Aiden Robinson            | Password: student693
  Roll:  59 | Mason Williams            | Password: student705
  Roll:  60 | Isabella Williams         | Password: student717
  Roll:  61 | Robert Gonzalez           | Password: student729
  Roll:  62 | Karen Sanchez             | Password: student741
  Roll:  63 | Richard Harris            | Password: student753
  Roll:  64 | Amelia Perez              | Password: student765
  Roll:  65 | Charles Jones             | Password: student777
  Roll:  66 | Emma Rodriguez            | Password: student789
  Roll:  67 | Sarah Clark               | Password: student801
  Roll:  68 | Jennifer Smith            | Password: student813
  Roll:  69 | Aiden Martinez            | Password: student825
  Roll:  70 | Patricia Martin           | Password: student837
  Roll:  71 | Jennifer Gonzalez         | Password: student849
  Roll:  72 | Robert Martin             | Password: student861
  Roll:  73 | Charlotte Wilson          | Password: student873
  Roll:  74 | Mason Wilson              | Password: student885
  Roll:  75 | Aiden Harris              | Password: student897
  Roll:  76 | Jennifer Perez            | Password: student909
  Roll:  77 | Ava Jones                 | Password: student921
  Roll:  78 | John Lewis                | Password: student933
  Roll:  79 | Charles Gonzalez          | Password: student945
  Roll:  80 | William Hernandez         | Password: student957
  Roll:  81 | Charlotte Jones           | Password: student969
  Roll:  82 | David Smith               | Password: student981
  Roll:  83 | Harper Clark              | Password: student993

Class 10 (83 students):
------------------------------------------------------------
  Roll:   1 | Mason Anderson            | Password: student10
  Roll:   2 | Mason Harris              | Password: student22
  Roll:   3 | Harper Robinson           | Password: student34
  Roll:   4 | Richard White             | Password: student46
  Roll:   5 | Patricia Clark            | Password: student58
  Roll:   6 | Ava Sanchez               | Password: student70
  Roll:   7 | Barbara Garcia            | Password: student82
  Roll:   8 | Mason Harris              | Password: student94
  Roll:   9 | Noah Jackson              | Password: student106
  Roll:  10 | Lucas Thomas              | Password: student118
  Roll:  11 | Ethan Taylor              | Password: student130
  Roll:  12 | William Smith             | Password: student142
  Roll:  13 | Sophia Lewis              | Password: student154
  Roll:  14 | Mia Thomas                | Password: student166
  Roll:  15 | Elijah Williams           | Password: student178
  Roll:  16 | Ava Thompson              | Password: student190
  Roll:  17 | Oliver Perez              | Password: student202
  Roll:  18 | Emma Lewis                | Password: student214
  Roll:  19 | Richard Miller            | Password: student226
  Roll:  20 | Lucas Perez               | Password: student238
  Roll:  21 | Sophia Clark              | Password: student250
  Roll:  22 | Olivia Jones              | Password: student262
  Roll:  23 | John Johnson              | Password: student274
  Roll:  24 | Sarah Miller              | Password: student286
  Roll:  25 | Olivia Smith              | Password: student298
  Roll:  26 | Isabella Smith            | Password: student310
  Roll:  27 | Robert Ramirez            | Password: student322
  Roll:  28 | Aiden Ramirez             | Password: student334
  Roll:  29 | Ethan Sanchez             | Password: student346
  Roll:  30 | Thomas Lee                | Password: student358
  Roll:  31 | Oliver Davis              | Password: student370
  Roll:  32 | Joseph Taylor             | Password: student382
  Roll:  33 | Elizabeth Ramirez         | Password: student394
  Roll:  34 | Amelia Davis              | Password: student406
  Roll:  35 | Ethan Harris              | Password: student418
  Roll:  36 | Amelia Garcia             | Password: student430
  Roll:  37 | James Gonzalez            | Password: student442
  Roll:  38 | Elizabeth Robinson        | Password: student454
  Roll:  39 | Jessica Gonzalez          | Password: student466
  Roll:  40 | Evelyn Gonzalez           | Password: student478
  Roll:  41 | Sophia Clark              | Password: student490
  Roll:  42 | Noah Miller               | Password: student502
  Roll:  43 | Liam Hernandez            | Password: student514
  Roll:  44 | Jessica Robinson          | Password: student526
  Roll:  45 | Liam Harris               | Password: student538
  Roll:  46 | Susan Sanchez             | Password: student550
  Roll:  47 | Sophia Lopez              | Password: student562
  Roll:  48 | Ava Ramirez               | Password: student574
  Roll:  49 | James Thomas              | Password: student586
  Roll:  50 | John Davis                | Password: student598
  Roll:  51 | Linda Hernandez           | Password: student610
  Roll:  52 | Joseph Lewis              | Password: student622
  Roll:  53 | Michael Garcia            | Password: student634
  Roll:  54 | Sophia Moore              | Password: student646
  Roll:  55 | Oliver Martinez           | Password: student658
  Roll:  56 | Susan Gonzalez            | Password: student670
  Roll:  57 | Linda Robinson            | Password: student682
  Roll:  58 | Mia Martinez              | Password: student694
  Roll:  59 | Emma Hernandez            | Password: student706
  Roll:  60 | Sebastian Brown           | Password: student718
  Roll:  61 | William Thomas            | Password: student730
  Roll:  62 | Jessica Perez             | Password: student742
  Roll:  63 | Liam Lewis                | Password: student754
  Roll:  64 | Barbara Rodriguez         | Password: student766
  Roll:  65 | Evelyn Perez              | Password: student778
  Roll:  66 | Ava Garcia                | Password: student790
  Roll:  67 | Mary Jones                | Password: student802
  Roll:  68 | Harper Lewis              | Password: student814
  Roll:  69 | Sarah Martin              | Password: student826
  Roll:  70 | Mason Thompson            | Password: student838
  Roll:  71 | Aiden Harris              | Password: student850
  Roll:  72 | Elijah Gonzalez           | Password: student862
  Roll:  73 | Barbara Johnson           | Password: student874
  Roll:  74 | Olivia Gonzalez           | Password: student886
  Roll:  75 | Jennifer Thomas           | Password: student898
  Roll:  76 | Liam White                | Password: student910
  Roll:  77 | Harper Lewis              | Password: student922
  Roll:  78 | Sophia Taylor             | Password: student934
  Roll:  79 | Evelyn Lopez              | Password: student946
  Roll:  80 | Harper Garcia             | Password: student958
  Roll:  81 | Evelyn Perez              | Password: student970
  Roll:  82 | Noah Johnson              | Password: student982
  Roll:  83 | Charlotte Davis           | Password: student994

Class 11 (83 students):
------------------------------------------------------------
  Roll:   1 | Liam Jackson              | Password: student11
  Roll:   2 | Charlotte Clark           | Password: student23
  Roll:   3 | Noah Lopez                | Password: student35
  Roll:   4 | Michael Perez             | Password: student47
  Roll:   5 | Richard Brown             | Password: student59
  Roll:   6 | Barbara Garcia            | Password: student71
  Roll:   7 | Elijah Harris             | Password: student83
  Roll:   8 | Lucas Jackson             | Password: student95
  Roll:   9 | Thomas Brown              | Password: student107
  Roll:  10 | Liam Martinez             | Password: student119
  Roll:  11 | Elizabeth Brown           | Password: student131
  Roll:  12 | Elijah Lewis              | Password: student143
  Roll:  13 | Linda Martin              | Password: student155
  Roll:  14 | Evelyn Perez              | Password: student167
  Roll:  15 | Thomas Smith              | Password: student179
  Roll:  16 | Patricia White            | Password: student191
  Roll:  17 | Sebastian Thomas          | Password: student203
  Roll:  18 | Lucas Rodriguez           | Password: student215
  Roll:  19 | Oliver Harris             | Password: student227
  Roll:  20 | Charlotte Taylor          | Password: student239
  Roll:  21 | Linda Jackson             | Password: student251
  Roll:  22 | Richard Ramirez           | Password: student263
  Roll:  23 | Jennifer Perez            | Password: student275
  Roll:  24 | Elijah Robinson           | Password: student287
  Roll:  25 | Evelyn Moore              | Password: student299
  Roll:  26 | Aiden Lopez               | Password: student311
  Roll:  27 | John Sanchez              | Password: student323
  Roll:  28 | Jessica Clark             | Password: student335
  Roll:  29 | Liam Martinez             | Password: student347
  Roll:  30 | Charles Brown             | Password: student359
  Roll:  31 | Patricia Gonzalez         | Password: student371
  Roll:  32 | John Jones                | Password: student383
  Roll:  33 | Amelia Sanchez            | Password: student395
  Roll:  34 | Joseph Harris             | Password: student407
  Roll:  35 | Amelia Hernandez          | Password: student419
  Roll:  36 | Jessica Brown             | Password: student431
  Roll:  37 | Oliver Lee                | Password: student443
  Roll:  38 | Robert Harris             | Password: student455
  Roll:  39 | Joseph Williams           | Password: student467
  Roll:  40 | Sophia Clark              | Password: student479
  Roll:  41 | Alexander Garcia          | Password: student491
  Roll:  42 | David Lopez               | Password: student503
  Roll:  43 | Robert Davis              | Password: student515
  Roll:  44 | James Jones               | Password: student527
  Roll:  45 | Thomas Garcia             | Password: student539
  Roll:  46 | Sarah Martin              | Password: student551
  Roll:  47 | Robert Thomas             | Password: student563
  Roll:  48 | Charlotte Ramirez         | Password: student575
  Roll:  49 | Evelyn Brown              | Password: student587
  Roll:  50 | Jessica Ramirez           | Password: student599
  Roll:  51 | Amelia Thomas             | Password: student611
  Roll:  52 | Barbara Thompson          | Password: student623
  Roll:  53 | John Davis                | Password: student635
  Roll:  54 | Olivia Smith              | Password: student647
  Roll:  55 | Noah Jones                | Password: student659
  Roll:  56 | James Garcia              | Password: student671
  Roll:  57 | Michael Lopez             | Password: student683
  Roll:  58 | Sarah Miller              | Password: student695
  Roll:  59 | Michael Davis             | Password: student707
  Roll:  60 | Liam Sanchez              | Password: student719
  Roll:  61 | Mason Lee                 | Password: student731
  Roll:  62 | Michael Lee               | Password: student743
  Roll:  63 | Evelyn Lee                | Password: student755
  Roll:  64 | Karen Hernandez           | Password: student767
  Roll:  65 | Oliver Williams           | Password: student779
  Roll:  66 | Sebastian Robinson        | Password: student791
  Roll:  67 | Mia Martinez              | Password: student803
  Roll:  68 | Liam Martin               | Password: student815
  Roll:  69 | Ava Sanchez               | Password: student827
  Roll:  70 | John Miller               | Password: student839
  Roll:  71 | Richard Thomas            | Password: student851
  Roll:  72 | Elijah Anderson           | Password: student863
  Roll:  73 | Thomas Perez              | Password: student875
  Roll:  74 | Sarah Johnson             | Password: student887
  Roll:  75 | Sophia Sanchez            | Password: student899
  Roll:  76 | Amelia Davis              | Password: student911
  Roll:  77 | John Brown                | Password: student923
  Roll:  78 | Amelia Rodriguez          | Password: student935
  Roll:  79 | Mia Johnson               | Password: student947
  Roll:  80 | Mary Harris               | Password: student959
  Roll:  81 | Linda Brown               | Password: student971
  Roll:  82 | Ava Gonzalez              | Password: student983
  Roll:  83 | David Hernandez           | Password: student995

Class 12 (83 students):
------------------------------------------------------------
  Roll:   1 | Charlotte Brown           | Password: student12
  Roll:   2 | Noah Davis                | Password: student24
  Roll:   3 | Jennifer Thompson         | Password: student36
  Roll:   4 | Ethan Lopez               | Password: student48
  Roll:   5 | Thomas Lopez              | Password: student60
  Roll:   6 | Oliver Perez              | Password: student72
  Roll:   7 | Amelia Wilson             | Password: student84
  Roll:   8 | Joseph Taylor             | Password: student96
  Roll:   9 | Charles Ramirez           | Password: student108
  Roll:  10 | Charlotte Sanchez         | Password: student120
  Roll:  11 | Aiden Garcia              | Password: student132
  Roll:  12 | Michael Rodriguez         | Password: student144
  Roll:  13 | Mary Lewis                | Password: student156
  Roll:  14 | Karen Jones               | Password: student168
  Roll:  15 | William Jackson           | Password: student180
  Roll:  16 | Emma Williams             | Password: student192
  Roll:  17 | Aiden Sanchez             | Password: student204
  Roll:  18 | David Johnson             | Password: student216
  Roll:  19 | Mia Hernandez             | Password: student228
  Roll:  20 | Lucas Sanchez             | Password: student240
  Roll:  21 | Joseph Smith              | Password: student252
  Roll:  22 | Elizabeth Moore           | Password: student264
  Roll:  23 | Sarah Taylor              | Password: student276
  Roll:  24 | Richard Martin            | Password: student288
  Roll:  25 | Richard Johnson           | Password: student300
  Roll:  26 | Lucas Smith               | Password: student312
  Roll:  27 | Sebastian Sanchez         | Password: student324
  Roll:  28 | Amelia Thompson           | Password: student336
  Roll:  29 | Jennifer Miller           | Password: student348
  Roll:  30 | Mia Garcia                | Password: student360
  Roll:  31 | Charles Harris            | Password: student372
  Roll:  32 | Susan Jackson             | Password: student384
  Roll:  33 | Sophia Jones              | Password: student396
  Roll:  34 | Jessica Rodriguez         | Password: student408
  Roll:  35 | Alexander Perez           | Password: student420
  Roll:  36 | Mason Lopez               | Password: student432
  Roll:  37 | Mary Martin               | Password: student444
  Roll:  38 | Patricia Jones            | Password: student456
  Roll:  39 | Sarah Jackson             | Password: student468
  Roll:  40 | Joseph Taylor             | Password: student480
  Roll:  41 | Isabella Moore            | Password: student492
  Roll:  42 | Elijah Ramirez            | Password: student504
  Roll:  43 | Susan Wilson              | Password: student516
  Roll:  44 | Olivia Harris             | Password: student528
  Roll:  45 | Elijah Robinson           | Password: student540
  Roll:  46 | Karen Lee                 | Password: student552
  Roll:  47 | Harper Ramirez            | Password: student564
  Roll:  48 | Elizabeth Martinez        | Password: student576
  Roll:  49 | Sarah Garcia              | Password: student588
  Roll:  50 | Alexander Robinson        | Password: student600
  Roll:  51 | Oliver Robinson           | Password: student612
  Roll:  52 | Aiden Williams            | Password: student624
  Roll:  53 | Barbara White             | Password: student636
  Roll:  54 | James White               | Password: student648
  Roll:  55 | Barbara Miller            | Password: student660
  Roll:  56 | Linda Garcia              | Password: student672
  Roll:  57 | Robert Sanchez            | Password: student684
  Roll:  58 | Barbara Anderson          | Password: student696
  Roll:  59 | Emma Sanchez              | Password: student708
  Roll:  60 | Alexander Sanchez         | Password: student720
  Roll:  61 | Elizabeth Rodriguez       | Password: student732
  Roll:  62 | Liam Clark                | Password: student744
  Roll:  63 | Noah Martin               | Password: student756
  Roll:  64 | Noah Anderson             | Password: student768
  Roll:  65 | Liam Brown                | Password: student780
  Roll:  66 | Ava Robinson              | Password: student792
  Roll:  67 | Lucas Jackson             | Password: student804
  Roll:  68 | Emma Lee                  | Password: student816
  Roll:  69 | Linda Lee                 | Password: student828
  Roll:  70 | William Jones             | Password: student840
  Roll:  71 | Charlotte Hernandez       | Password: student852
  Roll:  72 | Amelia Johnson            | Password: student864
  Roll:  73 | Thomas Thompson           | Password: student876
  Roll:  74 | Liam Thompson             | Password: student888
  Roll:  75 | Harper Lewis              | Password: student900
  Roll:  76 | Mary Williams             | Password: student912
  Roll:  77 | Isabella Martinez         | Password: student924
  Roll:  78 | Mary Perez                | Password: student936
  Roll:  79 | John Gonzalez             | Password: student948
  Roll:  80 | Mia Martinez              | Password: student960
  Roll:  81 | Thomas Brown              | Password: student972
  Roll:  82 | Aiden Martin              | Password: student984
  Roll:  83 | Elizabeth Thomas          | Password: student996

================================================================================
                              SUMMARY
================================================================================

Total Admins:           2
Total Teachers:         5
Total Students:         1000
Total Classes:          12
Total Subjects:         72
Total Books:            150
Total Fees:             150
Total Expenses:         150
Total Parents:          150
Total Notices:          150
Total Complains:        150
Total Teacher Payments: 150

================================================================================
